000001.SZ,000002.SZ
0.055151157,0.035886083
0.08619316,0.05290432
0.097272724,0.05304359
0.088252425,0.049831007
0.07057326,0.0391744
0.071311206,0.035752684
0.05494857,0.041942332
0.03515963,0.03769346
0.028180297,0.034212023
0.030554846,0.029020786
0.03410919,0.031173652
0.02937951,0.030161038
0.019719234,0.0327733
0.0053625107,0.0308498
0.004457865,0.03198052
0.0069010034,0.03898631
0.026547235,0.03495145
0.044704914,0.035196975
0.055436615,0.032677405
0.064510226,0.035358958
0.059283275,0.05168888
0.047977597,0.05199479
0.038603235,0.04676487
0.03348743,0.044567123
0.050180394,0.041879296
0.046897046,0.04146065
0.047818802,0.03659384
0.04022412,0.03848591
0.030153653,0.03676393
0.037715025,0.0379282
0.029782213,0.03883855
0.016784074,0.03341726
0.010908369,0.032688163
0.0062265284,0.031752765
0.002015505,0.03191221
-0.005862821,0.033569384
-0.007216785,0.03250484
-0.009194009,0.032204933
-0.018314805,0.031924024
-0.008978497,0.030633086
-0.0066194497,0.028270537
0.00409529,0.03172535
0.036010865,0.034421943
0.03433592,0.033058766
0.02572293,0.028971476
0.017719936,0.028371915
0.0064089745,0.028747624
-0.004761789,0.02908015
-0.0035569258,0.02979986
-0.007478878,0.027679581
-0.01375718,0.02492444
-0.019480463,0.028172188
-0.026154969,0.026267527
-0.0352136,0.028851824
-0.034554075,0.027954295
-0.03637557,0.029911844
-0.0392409,0.03336688
-0.039951924,0.035189945
-0.035668287,0.039760873
-0.039277215,0.04265596
-0.04635572,0.040363234
-0.051747587,0.03790471
-0.052824814,0.07056904
-0.055489596,0.073639944
-0.053164642,0.081915766
-0.048722673,0.07496792
-0.040607017,0.06472133
-0.027404707,0.053449966
-0.022451136,0.046190053
-0.013725612,0.04241554
-0.014652621,0.039989702
-0.021744367,0.03584228
-0.029146176,0.03942438
-0.021760862,0.038316242
-0.018914755,0.036764268
-0.020567294,0.032597527
-0.022784721,0.030026786
-0.019422773,0.029266778
-0.020408724,0.026068902
-0.017125934,0.04182207
-0.0076075085,0.03955793
-0.0013178773,0.03668306
-0.0047755428,0.03165016
-0.011155527,0.028962586
-0.016547572,0.026549647
-0.023707587,0.023015333
-0.02145708,0.020105934
-0.019478839,0.020678952
-0.023702849,0.020841539
-0.02544279,0.021105671
-0.029639956,0.024091698
-0.030854557,0.026365526
-0.030027155,0.02601352
-0.026041757,0.027373169
-0.030756239,0.02844018
-0.037523735,0.02599951
-0.03821153,0.03677173
-0.024368811,0.035723265
-0.023408446,0.029575309
-0.013286382,0.045509927
-0.019896533,0.045426004
-0.023400825,0.053685848
-0.027220864,0.06291642
-0.026208196,0.06977428
-0.011172291,0.058425095
-0.010615572,0.047713466
-0.009371791,0.04313176
-0.006304443,0.037411116
-0.0069608726,0.04361555
-0.011978392,0.0432292
-0.0133929625,0.040529706
-0.022469264,0.03813509
-0.031671826,0.04060503
-0.03802404,0.03869254
-0.045391906,0.053026088
-0.053532418,0.05012615
-0.054474015,0.043421604
-0.05262794,0.040246647
-0.047167737,0.036641117
-0.042891297,0.033915676
-0.045155738,0.032938495
-0.042901803,0.03537986
-0.04385673,0.033878796
-0.043191332,0.033248983
-0.037925962,0.03726457
-0.034899097,0.040121205
-0.024581272,0.036998257
-0.024345215,0.034982197
-0.02418368,0.033266604
-0.028062332,0.0343919
-0.035164293,0.050773036
-0.03864276,0.058662035
-0.043404285,0.065113425
-0.043577883,0.06609509
-0.022597972,0.08980045
-0.014971282,0.0952491
-0.0035865642,0.08727816
0.013398737,0.084521845
0.019797234,0.08092773
0.014999814,0.07065912
0.014797321,0.06427198
0.012305062,0.06594895
0.0064959377,0.058777746
-0.0053087734,0.050342634
-0.0126008205,0.043030202
-0.020315412,0.046751894
-0.027813558,0.047189213
-0.02451219,0.05293879
-0.013894651,0.051007383
-0.012536306,0.046267286
-0.017396793,0.05845081
-0.005326461,0.058374535
-0.0060494132,0.054011323
-0.0068197884,0.0483777
-0.014464866,0.041174646
-0.016725171,0.039702967
-0.0024383105,0.03698176
0.00096938387,0.053893656
0.0073784925,0.06918948
0.02889439,0.06840467
0.040904813,0.065980196
0.031370938,0.057282154
0.03060057,0.06457429
0.029752702,0.058991663
0.023818813,0.051919937
0.011957794,0.06603785
-0.0030872338,0.06968396
-0.011012796,0.063227005
-0.016468313,0.05447705
-0.019057583,0.04786956
-0.022481252,0.046154276
-0.027583268,0.03952618
-0.022243235,0.03413469
-0.022972915,0.03054456
-0.024491359,0.030535819
-0.020813812,0.03190323
-0.0058337003,0.03563656
-0.00020666048,0.033711433
0.0015995242,0.030028967
-0.0063652284,0.029015394
-0.015851337,0.028471898
-0.022112224,0.029457135
-0.021980736,0.031485695
-0.015834577,0.030603958
-0.013246741,0.031403325
-0.011502612,0.029413624
-0.012402918,0.027969157
-0.020122353,0.030752134
-0.025937472,0.030884461
-0.026673961,0.033140425
-0.009845976,0.036993947
-0.01219406,0.053736836
-0.018840943,0.059035555
-0.020793658,0.053822078
-0.0035393871,0.046273172
-0.0054481737,0.038254336
-0.00341852,0.03696314
-0.009499069,0.035954833
-0.016820129,0.042115346
-0.023899008,0.048693456
-0.026327472,0.049594965
-0.022435788,0.052898694
-0.020950694,0.073590904
-0.021981169,0.085905984
-0.015068073,0.09870297
-0.016641017,0.08558653
-0.00396486,0.07468622
0.0017308109,0.06169194
-0.003787443,0.056849033
0.0029847547,0.06084838
0.014595151,0.062143918
0.025800282,0.053602073
0.020060513,0.04854784
0.018011246,0.07740809
0.016632332,0.092837125
0.020981193,0.11233905
0.017020753,0.11228876
0.014653116,0.097039975
0.015376974,0.07851194
0.038213022,0.06390326
0.041131344,0.051328793
0.030638639,0.047460146
0.014037818,0.04476904
0.00479744,0.04525555
-0.0025884807,0.04716549
-0.010636013,0.047908287
-0.009946451,0.040154323
-0.0062262863,0.03448049
-0.0050028525,0.05629609
0.009919025,0.05843032
0.013790546,0.05453892
0.016281538,0.0644605
0.010546271,0.06308417
0.0067462437,0.054856226
0.0020493977,0.050215937
0.0058915652,0.05005431
0.01117342,0.045298666
0.0022468083,0.036551066
-0.0021686442,0.03421163
-0.006456103,0.031640336
0.004494924,0.035800137
0.006792631,0.03570281
