,0
0,0.19568197
1,0.29274625
2,0.28471795
3,0.20565091
4,0.16730975
5,0.11677712
6,0.06583498
7,0.06310021
8,0.064394675
9,0.06828538
10,0.052254725
11,0.038911946
12,0.06912183
13,0.015552457
14,-0.03614682
15,-0.0560375
16,-0.07562356
17,-0.10298388
18,-0.15281992
19,-0.19791298
20,-0.20235007
21,-0.17517616
22,-0.14910361
23,-0.12813528
24,-0.13753064
25,-0.16058226
26,-0.20660914
27,-0.2147506
28,-0.17410792
29,-0.17370848
30,-0.17369862
31,-0.18093123
32,-0.20403583
33,-0.22362818
34,-0.24020521
35,-0.25390136
36,-0.31405324
37,-0.36261427
38,-0.41814595
39,-0.4701652
40,-0.49516964
41,-0.5121997
42,-0.5225655
43,-0.5262626
44,-0.52551335
45,-0.52846235
46,-0.51536554
47,-0.50869447
48,-0.5216951
49,-0.52457285
50,-0.5252618
51,-0.5212586
52,-0.5324021
53,-0.5680633
54,-0.5980156
55,-0.61180854
56,-0.60214925
57,-0.6071965
58,-0.62478155
59,-0.6596123
60,-0.6006443
61,-0.58184516
62,-0.5271758
63,-0.49630636
64,-0.4854911
65,-0.4810801
66,-0.47393817
67,-0.4617961
68,-0.4698984
69,-0.5264104
70,-0.56758446
71,-0.6198661
72,-0.6806572
73,-0.7310532
74,-0.75272435
75,-0.74010414
76,-0.7208006
77,-0.6619497
78,-0.6207445
79,-0.5776827
80,-0.5812736
81,-0.59901476
82,-0.6179871
83,-0.64195627
84,-0.66736954
85,-0.69514775
86,-0.7240352
87,-0.756368
88,-0.77986294
89,-0.7897822
90,-0.8074044
91,-0.83942634
92,-0.8651872
93,-0.8820509
94,-0.8865988
95,-0.8836358
96,-0.8821173
97,-0.8580359
98,-0.84286636
99,-0.8164995
100,-0.788065
101,-0.75414175
102,-0.7377483
103,-0.7394627
104,-0.7430032
105,-0.750311
106,-0.752957
107,-0.7485947
108,-0.7687675
109,-0.8124421
110,-0.8581299
111,-0.8991956
112,-0.90593815
113,-0.894139
114,-0.8807997
115,-0.8706196
116,-0.86357164
117,-0.86312383
118,-0.87059915
119,-0.88043505
120,-0.89213866
121,-0.9022544
122,-0.9047282
123,-0.9158057
124,-0.93074554
125,-0.94036883
126,-0.9477503
127,-0.95250064
128,-0.94852453
129,-0.9355597
130,-0.9208934
131,-0.90794605
132,-0.7838017
133,-0.74093145
134,-0.7405619
135,-0.6900652
136,-0.6052782
137,-0.61208665
138,-0.63139814
139,-0.6291703
140,-0.59744984
141,-0.612166
142,-0.6643281
143,-0.71087694
144,-0.7344622
145,-0.73994106
146,-0.7655918
147,-0.7954952
148,-0.80788636
149,-0.81012934
150,-0.8095345
151,-0.8250367
152,-0.85189086
153,-0.8794232
154,-0.9082223
155,-0.9152621
156,-0.83401626
157,-0.7782714
158,-0.7340384
159,-0.71895725
160,-0.72048604
161,-0.7151869
162,-0.72732913
163,-0.7275415
164,-0.7212431
165,-0.7305321
166,-0.74573284
167,-0.77363795
168,-0.7979565
169,-0.81991225
170,-0.83798796
171,-0.85919726
172,-0.8801622
173,-0.8958557
174,-0.9031788
175,-0.9053175
176,-0.9099193
177,-0.92125493
178,-0.9351228
179,-0.945396
180,-0.9582998
181,-0.97427756
182,-0.99108714
183,-1.0024663
184,-1.0146128
185,-1.0398147
186,-1.0808277
187,-1.130875
188,-1.1832366
189,-1.2240658
190,-1.2468085
191,-1.2513647
192,-1.2406275
193,-1.2312729
194,-1.227953
195,-1.2285666
196,-1.2364883
197,-1.2533569
198,-1.2688318
199,-1.2828648
200,-1.2627373
201,-1.2291925
202,-1.1991038
203,-1.1778512
204,-1.1648524
205,-1.1611476
206,-1.1625824
207,-1.1574488
208,-1.1589707
209,-1.1691022
210,-1.1835182
211,-1.1727211
212,-1.1728698
213,-1.1671188
214,-1.1586411
215,-1.1578003
216,-1.1640418
217,-1.1763093
218,-1.1951271
219,-1.2150817
220,-1.2386494
221,-1.2718313
222,-1.3096627
223,-1.3382041
224,-1.3563952
225,-1.3746315
226,-1.3822663
227,-1.3888112
228,-1.3963187
229,-1.4001135
230,-1.4041998
231,-1.410651
232,-1.4202082
233,-1.4297013
234,-1.4351556
235,-1.4373536
236,-1.44075
237,-1.4472175
238,-1.4520061
239,-1.4518499
